"time", "B","N","E","S","dCO2dt","X"
0.00,1.08,432.47,0.4154047525,188.072160664,0,0.0303083594
16.40,51.37,183.87,5.8238227786,182.8301080392,78.7097008877,2.006857401
20.90,121.77,106.36,14.3733255478,166.7073722773,199.9774012505,4.0777822128
24.00,170.34,56.39,22.7095555065,147.695767292,250.1454098419,5.2056686285
26.10,181.30,1.61,27.9152068029,136.0966190338,251.1421674054,5.4782873313
40.50,211.67,0.00,57.703189384,75.6031673874,155.1786524967,6.8612203612
45.70,215.46,0.00,65.8464298271,55.8160609934,133.4031185748,7.1878089552
49.40,219.12,0.00,71.099292691,45.6251677801,127.9701866794,7.4266703672
65.40,205.69,0.00,90.3696610844,4.9666165218,84.9740139621,7.2263330608
74.90,214.66,0.00,92.5345073692,0.135087753,-11.9750931851,7.5230052962
88.00,212.73,0.00,92.870674345,0.1880626952,0.4367648264,7.3964325141

